term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
T0[1],-11.710550191803376,5.243367293923295,-23.487713516198248,-11.080168598533495,-3.2681816573803513,lf,NA,NA
T0[2],1.616198621223816,3.8332703857507977,-5.152441915454038,1.3334558572895512,10.136426457989977,lf,NA,NA
T0[3],-1.0853386218986114,3.1592397960070038,-7.809102280329827,-0.9650167406193352,4.866540813438943,lf,NA,NA
T0[4],2.2138505490751137,4.161542526464918,-4.764396268933025,1.78477313582789,11.75204948634166,lf,NA,NA
T0[5],2.431297612936284,6.462673669381919,-10.412463387308483,2.3442491210504692,15.607093266819472,lf,NA,NA
T0[6],-5.322732817598885,3.448521038775032,-12.85060356836088,-5.067329618105019,0.7545333717863602,lf,NA,NA
T0[7],1.9787148363490605,4.181097493045816,-5.215637524113145,1.534604615095894,12.084077060344333,lf,NA,NA
T0[8],1.5058665967574385,3.997872221926391,-5.515556018586478,1.1856764681285736,10.730044309445724,lf,NA,NA
Topt,21.675741666666667,1.872143898536815,17.4,21.9,24.8,lf,20.5,23
Tbreadth,19.428052512013053,3.767658018391286,13.320542304212008,18.96619517536628,28.162864621145438,lf,NA,NA
