parameter,nonarctic,arctic,trait,diff
Tmin,10.399122268821175,1.658418896762763,MDR,8.740703372058412
Tmax,37.30476422428656,32.644907227257285,MDR,4.659856997029273
q,7.023759273751211e-5,7.230949475332802e-5,MDR,-2.0719020158159094e-6
Tmin,14.846571677154596,11.443885203868373,PDR,3.4026864732862236
Tmax,35.735281696171825,34.59855326470486,PDR,1.1367284314669632
q,1.0188282263107868e-4,9.089637503282954e-5,PDR,1.0986447598249134e-5
Tmin,4.7368796489166,0.17672930286072355,pLA,4.560150346055876
Tmax,32.54274160708245,33.80437209711092,pLA,-1.2616304900284732
q,5.929165127849998e-4,3.7110315148228506e-4,pLA,2.218133613027147e-4
Tmin,2.492300148169202,0.01088999780151765,EV,2.4814101503676844
Tmax,35.75608042217206,36.926309854395,EV,-1.1702294322229392
q,3.923842614876933e-4,4.258313680876756e-4,EV,-3.344710659998235e-5
Tmin,10.61741683380508,8.165162977975124,lf,2.452253855829957
Tmax,27.1366573018736,26.01809111112883,lf,1.1185661907447724
q,0.1558131351404229,0.09496519356753225,lf,0.06084794157289064
